2022-07-01_12-15-42 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2022-07-01_12-15-42 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8500"]
2022-07-01_12-15-42 [main] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
2022-07-01_12-15-42 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8500"]
2022-07-01_12-15-42 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Destroying ProtocolHandler ["http-nio-8500"]
2022-07-01_12-15-42 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2022-07-01_12-15-42 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.cts.portal.PortalMicroserviceApplicationTests], using SpringBootContextLoader
2022-07-01_12-15-42 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.cts.portal.PortalMicroserviceApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-07-01_12-15-42 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.cts.portal.PortalMicroserviceApplicationTests]: PortalMicroserviceApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-07-01_12-15-42 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.cts.portal.PortalMicroserviceApplication for test class com.cts.portal.PortalMicroserviceApplicationTests
2022-07-01_12-15-42 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-07-01_12-15-42 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@463746eb, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@54d9b23a, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@15ae31b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@428e9be2, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@3e729d46, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2723b0d0, org.springframework.test.context.event.EventPublishingTestExecutionListener@7137cd14, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@47d0195b, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6de2344a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@577dac16, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@18ed9480, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5fb05c07, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@238c63df]
2022-07-01_12-15-42 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
